entity,sentence,paragraph,sentence_original,label,class_ID
data collection,"work sheets , will be produced by each participant or group of participants . Recording of the decision making steps is the simplest approach ; Artificial Intelligence offers alternatives with intelligent guidance . 6 . 9 . Multimedia hardware requirements 6.6 . Application deue,!opment features in the MS - GDS tool kit Applications are oriented toward data types . The tool kit and actual applications should not different greatly . Both would have similar user interface displays . The exceptions would be production applications and physical sensor data collection . The applications would be developed by "" learn modes "" in which the designer goes through the steps , and the sy ~ tems copies the process .","work sheets, will be produced by each participant or group of participants. Recording of the decision making steps is the simplest approach; AI offers alternatives with intelligent guidance. 6. 9. Multimedia hardware requirements 6.6. Application deue,!opment features in the MS-GDS tool kit Applications are oriented toward data types. The tool kit and actual applications should not different greatly. Both would have similar user interface displays. The exceptions would be production applications and physical sensor data collection. The applications would be developed by ""learn modes"" in which the designer goes through the steps, and the sy~tems copies the process.","work sheets, will be produced by each participant or group of participants. Recording of the decision making steps is the simplest approach; AI offers alternatives with intelligent guidance. 6. 9. Multimedia hardware requirements 6.6. Application deue,!opment features in the MS-GDS tool kit Applications are oriented toward data types. The tool kit and actual applications should not different greatly. Both would have similar user interface displays. The exceptions would be production applications and physical sensor data collection. The applications would be developed by ""learn modes"" in which the designer goes through the steps, and the sy~tems copies the process.",belongs_to_article,1
longitudinal studies,work on the attempts to replace physical ( and costly ) car crashes in safety design in the automotive industry with simulated crashes is one of few longitudinal studies of simulations in organizations .,"This insight overlaps with several other studies. work on the attempts to replace physical (and costly) car crashes in safety design in the automotive industry with simulated crashes is one of few longitudinal studies of simulations in organizations. In his study, Leonardi (2012, p. 14) underscores the sociotechnical conditions for digital representations in the form of simulations becoming 'real' as ""there is no guarantee that people will use the new information [from simulation] or that they will believe it"". Simulation models are interesting and relevant to our analysis as they theoretically offer the possibility of decoupling (further) the tie between digital representation and its physical referent. However, a consistent theme in Leonardi (2012, p. 62) analysis is how the simulation models need ongoing validation with physical car crashes ""to verify the accuracy of their simulations by confirming them with physical tests [of car crashes]"". As Bailey et al. (2012 Bailey et al. ( , p. 1500, drawing on Leonardi's study, point out ""this tight coupling in simulation means that people who create representations are highly dependent on physical referents"". Similarly, in their study of Gehry's use of simulation models in architecture, Boland, Lyytinen, and Yoo (2007) underscore the close link maintained with a physical model of the building in question. Our mechanism of material tethering spells out how the link digital/physical is forged. For instance, during the bi-annual maintenance shutdown, the values for the wear on pipes and chokes predicted by the algorithm are compared directly with the physical measurements of the equipment during maintenance.",work on the attempts to replace physical (and costly) car crashes in safety design in the automotive industry with simulated crashes is one of few longitudinal studies of simulations in organizations.,belongs_to_article,1
automotive industry,work on the attempts to replace physical ( and costly ) car crashes in safety design in the automotive industry with simulated crashes is one of few longitudinal studies of simulations in organizations .,"This insight overlaps with several other studies. work on the attempts to replace physical (and costly) car crashes in safety design in the automotive industry with simulated crashes is one of few longitudinal studies of simulations in organizations. In his study, Leonardi (2012, p. 14) underscores the sociotechnical conditions for digital representations in the form of simulations becoming 'real' as ""there is no guarantee that people will use the new information [from simulation] or that they will believe it"". Simulation models are interesting and relevant to our analysis as they theoretically offer the possibility of decoupling (further) the tie between digital representation and its physical referent. However, a consistent theme in Leonardi (2012, p. 62) analysis is how the simulation models need ongoing validation with physical car crashes ""to verify the accuracy of their simulations by confirming them with physical tests [of car crashes]"". As Bailey et al. (2012 Bailey et al. ( , p. 1500, drawing on Leonardi's study, point out ""this tight coupling in simulation means that people who create representations are highly dependent on physical referents"". Similarly, in their study of Gehry's use of simulation models in architecture, Boland, Lyytinen, and Yoo (2007) underscore the close link maintained with a physical model of the building in question. Our mechanism of material tethering spells out how the link digital/physical is forged. For instance, during the bi-annual maintenance shutdown, the values for the wear on pipes and chokes predicted by the algorithm are compared directly with the physical measurements of the equipment during maintenance.",work on the attempts to replace physical (and costly) car crashes in safety design in the automotive industry with simulated crashes is one of few longitudinal studies of simulations in organizations.,belongs_to_article,1
Linux,work on the Linux community and open source .,"To help maintain coherence -to remain collected and to accept a powerful machination that might help -the members of the collective (human and nonhuman) needed to draw on a common set of understandings about how things are to be done, what is allowed, and what is not -what we call the Constitution. We draw this concept of a constitution directly from Weber's (2004 Weber's ( , p. 179, 2005) work on the Linux community and open source. Specifically, he proposes that the open source license (in the Linux case the General Public Licence or GPL) serves as a de facto constitution of the Linux collective: ""... the core statement of the social structure that defines the community of open source developers who participate in the project"" (Weber, 2004) . In a similar way, Demil and Lecocq (2006) propose the copy-left license as fundamental to understanding the governance of open source. They quote Bonaccorsi and Rossi (2003) : ""Licenses are the most important institution in the governance structure of open source projects"" (see also O'Mahony, 2003) . Weber (2005) suggests that the core constitutional value that the GPL license proposes is that developers will be treated fairly if they join the collective (community), suggesting that fairness is basic to the open source movement's social contract that offers a mix of freedom, non-discrimination and pragmatism. Similarly, Lanzara and Morner (2005) speak of the ""rules of reciprocity"" that the license inscribes. Indeed, being treated fairly can be understood as central to participation in open source in the sense that participants can believe that their work will not be expropriated and exploited by others (Benkler, 2004; Henkel, 2004) . In this paper, we go a little further and ask that the other, nonhuman, participants in the collective be treated fairly under the Constitution, including code, patches, and software actors. As we see below, if this core value appears to be violated, then some members of the collective, and their spokespersons, become very concerned.",work on the Linux community and open source.,background_information,3
open source,work on the Linux community and open source .,"To help maintain coherence -to remain collected and to accept a powerful machination that might help -the members of the collective (human and nonhuman) needed to draw on a common set of understandings about how things are to be done, what is allowed, and what is not -what we call the Constitution. We draw this concept of a constitution directly from Weber's (2004 Weber's ( , p. 179, 2005) work on the Linux community and open source. Specifically, he proposes that the open source license (in the Linux case the General Public Licence or GPL) serves as a de facto constitution of the Linux collective: ""... the core statement of the social structure that defines the community of open source developers who participate in the project"" (Weber, 2004) . In a similar way, Demil and Lecocq (2006) propose the copy-left license as fundamental to understanding the governance of open source. They quote Bonaccorsi and Rossi (2003) : ""Licenses are the most important institution in the governance structure of open source projects"" (see also O'Mahony, 2003) . Weber (2005) suggests that the core constitutional value that the GPL license proposes is that developers will be treated fairly if they join the collective (community), suggesting that fairness is basic to the open source movement's social contract that offers a mix of freedom, non-discrimination and pragmatism. Similarly, Lanzara and Morner (2005) speak of the ""rules of reciprocity"" that the license inscribes. Indeed, being treated fairly can be understood as central to participation in open source in the sense that participants can believe that their work will not be expropriated and exploited by others (Benkler, 2004; Henkel, 2004) . In this paper, we go a little further and ask that the other, nonhuman, participants in the collective be treated fairly under the Constitution, including code, patches, and software actors. As we see below, if this core value appears to be violated, then some members of the collective, and their spokespersons, become very concerned.",work on the Linux community and open source.,background_information,3
telework,work in the telework area .,"applied to which determine how the work or organization form functions. A person with duties requiring fre-Without a clear frame of reference unnecessary confusion and imprecision may arise around what is actually quent and close personal contact with colleagues should not work at home full-time. It is difficult to say anything meant, and occurrences and effects cannot be discussed in an appropriate manner. This has been clear in Sweden in general on which duties are suitable for the various forms of work or organization. The importance of the where a number of statistical investigations regarding telework has shown very differing results. The confusion duties for the chosen work form has been discussed by several authors; see, for instance, Huws et al (1990), or caused by this may be traced back to different investigations using different definitions of the same concepts. Lindström and Rapp (1996). Work duties are also linked to another dimension From a practical point of view a classification which is as precise as possible is of great importance for how which is significant for the effectiveness of the chosen form, viz. the need for learning. There are duties of such easy it is to identify and judge potential effects of a particular form of work or organizational form. a nature which require continuous learning, a type of learning where it is important that the individual spends From the discussion above, both with regard to the form of work and the workplace, it is evident that pre-time in an environment with others doing similar jobs. In this way each individual is given continuous opport-requisites for telework differ in many ways. There can be major differences between different 'telework situ-unities to learn not only from their own experience but also from that of others. ations'. Many factors come into play to determine whether a 'telework form' is successful or not and what As can be seen from this discussion, there are a number of interesting and important questions for future should be taken into consideration in various situations to make any possible improvements. work in the telework area. We have shown that there are many factors at various levels that must be considered, One example of an important question is the individual's freedom to choose when and/or where he or she is such as management, type of duties, social contact and learning. It is a difficult task for an organization to to work. The more freedom the individual has to choose decide on a certain telework form. It can be seen as a principle' proposed here, that it is able to adapt to such changes. large jigsaw puzzle where a set of different variables must be considered simultaneously.",work in the telework area.,background_information,3
user acceptance,"work acknowledges this potential limitation : "" While being very powerful in helping us predict acceptance , one of the limitations of Technology Acceptance Model is that it does not help understand and explain acceptance in ways that guide development beyond suggesting that system characteristics impact ease of use . . . . This places a damper on our ability to meaningfully design interventions to foster acceptance . In order to be able to explain user acceptance and use , it is important to understand the antecedents of the key Technology Acceptance Model constructs , perceived ease of use and usefulness "" ( Venkatesh and Davis 1996 , pp . 472 - 473 ) .","The parsimony of TAM combined with its predictive power make it easy to apply to different situations. However, while parsimony is TAM's strength, it is also the model's key limitation. TAM is predictive but its generality does not provide sufficient understanding from the standpoint of providing system designers with the information necessary to create user acceptance for new systems (Mathieson 1991) . Specifically, it is important to emphasize that although perceived ease of use has been employed extensively in user acceptance research in general and TAM research in particular, very little has been done to understand the determinants of perceived ease of use. Davis' more recent 1 The development and testing of TAM was based on studies conducted to examine potential acceptance of products of IBM, Canada. work acknowledges this potential limitation: ""While being very powerful in helping us predict acceptance, one of the limitations of TAM is that it does not help understand and explain acceptance in ways that guide development beyond suggesting that system characteristics impact ease of use. . . . This places a damper on our ability to meaningfully design interventions to foster acceptance. In order to be able to explain user acceptance and use, it is important to understand the antecedents of the key TAM constructs, perceived ease of use and usefulness"" (Venkatesh and Davis 1996, pp. 472-473). Understanding the determinants of perceived ease of use is further underscored by the two mechanisms by which it influences intention: (1) perceived ease of use has a direct effect on intention, and an indirect effect on intention via perceived usefulness, and (2) it is an initial hurdle that users have to overcome for acceptance, adoption, and usage of a system (see Davis et al. 1989 ).","work acknowledges this potential limitation: ""While being very powerful in helping us predict acceptance, one of the limitations of TAM is that it does not help understand and explain acceptance in ways that guide development beyond suggesting that system characteristics impact ease of use. . . . This places a damper on our ability to meaningfully design interventions to foster acceptance. In order to be able to explain user acceptance and use, it is important to understand the antecedents of the key TAM constructs, perceived ease of use and usefulness"" (Venkatesh and Davis 1996, pp. 472-473).",related_work,2
TAM,"work acknowledges this potential limitation : "" While being very powerful in helping us predict acceptance , one of the limitations of Technology Acceptance Model is that it does not help understand and explain acceptance in ways that guide development beyond suggesting that system characteristics impact ease of use . . . . This places a damper on our ability to meaningfully design interventions to foster acceptance . In order to be able to explain user acceptance and use , it is important to understand the antecedents of the key Technology Acceptance Model constructs , perceived ease of use and usefulness "" ( Venkatesh and Davis 1996 , pp . 472 - 473 ) .","The parsimony of TAM combined with its predictive power make it easy to apply to different situations. However, while parsimony is TAM's strength, it is also the model's key limitation. TAM is predictive but its generality does not provide sufficient understanding from the standpoint of providing system designers with the information necessary to create user acceptance for new systems (Mathieson 1991) . Specifically, it is important to emphasize that although perceived ease of use has been employed extensively in user acceptance research in general and TAM research in particular, very little has been done to understand the determinants of perceived ease of use. Davis' more recent 1 The development and testing of TAM was based on studies conducted to examine potential acceptance of products of IBM, Canada. work acknowledges this potential limitation: ""While being very powerful in helping us predict acceptance, one of the limitations of TAM is that it does not help understand and explain acceptance in ways that guide development beyond suggesting that system characteristics impact ease of use. . . . This places a damper on our ability to meaningfully design interventions to foster acceptance. In order to be able to explain user acceptance and use, it is important to understand the antecedents of the key TAM constructs, perceived ease of use and usefulness"" (Venkatesh and Davis 1996, pp. 472-473). Understanding the determinants of perceived ease of use is further underscored by the two mechanisms by which it influences intention: (1) perceived ease of use has a direct effect on intention, and an indirect effect on intention via perceived usefulness, and (2) it is an initial hurdle that users have to overcome for acceptance, adoption, and usage of a system (see Davis et al. 1989 ).","work acknowledges this potential limitation: ""While being very powerful in helping us predict acceptance, one of the limitations of TAM is that it does not help understand and explain acceptance in ways that guide development beyond suggesting that system characteristics impact ease of use. . . . This places a damper on our ability to meaningfully design interventions to foster acceptance. In order to be able to explain user acceptance and use, it is important to understand the antecedents of the key TAM constructs, perceived ease of use and usefulness"" (Venkatesh and Davis 1996, pp. 472-473).",related_work,2
meta-model,work DWM provides a meta - model that acts as a template to guide analysts in identifying the role of objects and relationships in the application domain .,"InConcert is an object-oriented client-server workflow management system. The InConcert object model consists of tasks, roles and references to data objects. It also provides an event and trigger model w x 43 . The Dynamic Workflow management frame-Ž . work DWM provides a meta-model that acts as a template to guide analysts in identifying the role of objects and relationships in the application domain. DWM defines the basic elements of a business process and provides an integrated view from four distinct perspectives: functional, informational, bew x havioral and organizational 27,28 .",work DWM provides a meta-model that acts as a template to guide analysts in identifying the role of objects and relationships in the application domain.,background_information,3
pretests,wording refined based on card sorting and pretests .,wording refined based on card sorting and pretests.,wording refined based on card sorting and pretests.,belongs_to_article,1
card sorting,wording refined based on card sorting and pretests .,wording refined based on card sorting and pretests.,wording refined based on card sorting and pretests.,belongs_to_article,1
framework,word2vec method is a self - supervised framework mapping every word in the vocabulary to a unique vector in the representation vector space so that similar words are located close to each other .,"The document representation method doc2vec derives directly from the word representation method word2vec [45, 46] . word2vec method is a self-supervised framework mapping every word in the vocabulary to a unique vector in the representation vector space so that similar words are located close to each other. This representation model can be trained by two ways, in which, each word either is predicted by the surrounding words (CBOW method) or used to predict other words in the same context (Skip-gram method). By using neural networks with new architectures, word2vec can preserve the linear regularities among words, and is able to capture syntactic and semantic word similarities better than other methods [45] . As a natural extension, doc2vec vectorization, introduced by Le and Mikolov [38] , represents a feedback document corpus according to a continuous distributed vector. Previous studies show that it is more robust and accurate in document classification than other baseline methods [38, 47, 48] . Similar to word2vec, there are two main architectures to train the doc2vec model: a distributed memory model of paragraph vectors (PV-DM) and the distributed bag of words version of the paragraph vector (PV-DBOW).",word2vec method is a self-supervised framework mapping every word in the vocabulary to a unique vector in the representation vector space so that similar words are located close to each other.,background_information,3
innovation,"word vectors without context and do not distinguish the nuanced meanings of the word "" managing . "" 21 global vectors for word representation 's innovation is to capture word co the hyphen occurrences in tweets or documents , as opposed to Word2vec 's focus on local contextual information for individual words .","word vectors without context and do not distinguish the nuanced meanings of the word ""managing."" 21 GloVe's innovation is to capture word co-occurrences in tweets or documents, as opposed to Word2vec's focus on local contextual information for individual words. Word vectors are high-dimensional and cannot be reduced to scalar metrics. The following is a sample tweet representing negative sentiment and a helpless attitude: @UNRefugeeAgency @Refugees @RedHourBen UNHCR and humanitarian organizations please ... We are Iraqi refugees in Turkey from 2014 until now and so far we have not got a homeland ... Put yourselves in our place. Our situation is bad and our children, their future is unknown.","word vectors without context and do not distinguish the nuanced meanings of the word ""managing."" 21 GloVe's innovation is to capture word co-occurrences in tweets or documents, as opposed to Word2vec's focus on local contextual information for individual words.",background_information,3
Word2vec,"word vectors without context and do not distinguish the nuanced meanings of the word "" managing . "" 21 global vectors for word representation 's innovation is to capture word co the hyphen occurrences in tweets or documents , as opposed to Word2vec 's focus on local contextual information for individual words .","word vectors without context and do not distinguish the nuanced meanings of the word ""managing."" 21 GloVe's innovation is to capture word co-occurrences in tweets or documents, as opposed to Word2vec's focus on local contextual information for individual words. Word vectors are high-dimensional and cannot be reduced to scalar metrics. The following is a sample tweet representing negative sentiment and a helpless attitude: @UNRefugeeAgency @Refugees @RedHourBen UNHCR and humanitarian organizations please ... We are Iraqi refugees in Turkey from 2014 until now and so far we have not got a homeland ... Put yourselves in our place. Our situation is bad and our children, their future is unknown.","word vectors without context and do not distinguish the nuanced meanings of the word ""managing."" 21 GloVe's innovation is to capture word co-occurrences in tweets or documents, as opposed to Word2vec's focus on local contextual information for individual words.",background_information,3
word of mouth,word of mouth context because the online environment permits more separation between an electronic word of mouth message and its source [ 59 ] .,"EWoM Message quality refers to the strength of the arguments contained within an eWoM message. It describes the extent to which a consumer perceives the content of an eWoM message as meaningful [19, 96, 124] , accurate [20, 34, 44, 46] , understandable [44] , rational [42, 96, 123] , timely [20, 29, 34, 44, 46] , relevant [20, 29, 44, 46] , and comprehensive [20, 29, 44, 96] . Prior HSM research has consistently identified quality of arguments within a message as the main antecedent of informational influence under conditions of systematic processing [15, 126] . Similarly, prior research on eWoM message adoption has shown the quality of arguments within an eWoM message as an important antecedent of a consumer's perceived helpfulness of an eWoM message [1, 86] . When elaborated carefully (i.e., systematic processing), higher argument quality reduces ambiguity surrounding the topic of discussion within an eWoM message for a consumer, which can help reduce decision-making uncertainty [126] . Therefore, higher eWoM message quality can significantly improve the helpfulness of an eWoM message for a consumer [20, 21] . Nonetheless, assessing the helpfulness of an eWoM message based on the quality of its arguments requires diligent scrutiny and systematic processing of the content of the eWoM message, which will be limited if a consumer is unwilling to or is cognitively unable to make sense of eWoM message arguments [13, 17, 107, 126] . Thus, eWoM message quality is a systematic cue that can determine a consumer's perceived helpfulness of an eWoM message. Hence, we postulate the following hypothesis. Message credibility refers to the extent to which a consumer perceives the information contained within a message as believable, trustworthy, and valid [19] . Prior studies (e.g., Wathen and Burkell [113] ) explain that ""a key early stage in the persuasion process is the receiver's judgment of the credibility of the information"" (p. 134). Although the emphasis in information credibility research has traditionally been on characteristics of the source, characteristics of the message have also gained distinct attention [78, 81] . Rosenthal [97] was among the early researchers who demonstrated the importance of message credibility in persuasion as a conceptually distinct factor than the credibility of the source. This conceptualization has since been adopted by many studies in the persuasion and eWoM literatures (e.g., Cheung et al. [19] , Erkans and Evans [40] , Fang [42] , Flanagin [78] [79] [80] [81] [82] , Walthan and Burkell [113] ). The importance of message credibility in determining its perceived helpfulness is more pronounced in an eWoM context as compared to a traditional (face-to-face) word of mouth context because the online environment permits more separation between an eWoM message and its source [59]. Face-to-face word of mouth is mainly transmitted between family members, friends, or close acquaintances. As such, consumers generally encounter less uncertainty about the credibility of a message because the source is well known. When the source is well known, consumers are able to extend source credibility (attributed to the familiarity with the source) to the credibility of the message provided by the source. However, in an online environment, information about the source is separated from an eWoM message because eWoM messages are mostly posted by strangers who are either anonymous or reveal little identification information [59, 68] . This places the burden on the consumer to assess the credibility of the message separately from the credibility of its source [59]. Therefore, eWoM message credibility is considered an important determinant of the helpfulness of an eWoM message [31, 40, 57] .",word of mouth context because the online environment permits more separation between an eWoM message and its source [59].,belongs_to_article,1
eWoM,word of mouth context because the online environment permits more separation between an electronic word of mouth message and its source [ 59 ] .,"EWoM Message quality refers to the strength of the arguments contained within an eWoM message. It describes the extent to which a consumer perceives the content of an eWoM message as meaningful [19, 96, 124] , accurate [20, 34, 44, 46] , understandable [44] , rational [42, 96, 123] , timely [20, 29, 34, 44, 46] , relevant [20, 29, 44, 46] , and comprehensive [20, 29, 44, 96] . Prior HSM research has consistently identified quality of arguments within a message as the main antecedent of informational influence under conditions of systematic processing [15, 126] . Similarly, prior research on eWoM message adoption has shown the quality of arguments within an eWoM message as an important antecedent of a consumer's perceived helpfulness of an eWoM message [1, 86] . When elaborated carefully (i.e., systematic processing), higher argument quality reduces ambiguity surrounding the topic of discussion within an eWoM message for a consumer, which can help reduce decision-making uncertainty [126] . Therefore, higher eWoM message quality can significantly improve the helpfulness of an eWoM message for a consumer [20, 21] . Nonetheless, assessing the helpfulness of an eWoM message based on the quality of its arguments requires diligent scrutiny and systematic processing of the content of the eWoM message, which will be limited if a consumer is unwilling to or is cognitively unable to make sense of eWoM message arguments [13, 17, 107, 126] . Thus, eWoM message quality is a systematic cue that can determine a consumer's perceived helpfulness of an eWoM message. Hence, we postulate the following hypothesis. Message credibility refers to the extent to which a consumer perceives the information contained within a message as believable, trustworthy, and valid [19] . Prior studies (e.g., Wathen and Burkell [113] ) explain that ""a key early stage in the persuasion process is the receiver's judgment of the credibility of the information"" (p. 134). Although the emphasis in information credibility research has traditionally been on characteristics of the source, characteristics of the message have also gained distinct attention [78, 81] . Rosenthal [97] was among the early researchers who demonstrated the importance of message credibility in persuasion as a conceptually distinct factor than the credibility of the source. This conceptualization has since been adopted by many studies in the persuasion and eWoM literatures (e.g., Cheung et al. [19] , Erkans and Evans [40] , Fang [42] , Flanagin [78] [79] [80] [81] [82] , Walthan and Burkell [113] ). The importance of message credibility in determining its perceived helpfulness is more pronounced in an eWoM context as compared to a traditional (face-to-face) word of mouth context because the online environment permits more separation between an eWoM message and its source [59]. Face-to-face word of mouth is mainly transmitted between family members, friends, or close acquaintances. As such, consumers generally encounter less uncertainty about the credibility of a message because the source is well known. When the source is well known, consumers are able to extend source credibility (attributed to the familiarity with the source) to the credibility of the message provided by the source. However, in an online environment, information about the source is separated from an eWoM message because eWoM messages are mostly posted by strangers who are either anonymous or reveal little identification information [59, 68] . This places the burden on the consumer to assess the credibility of the message separately from the credibility of its source [59]. Therefore, eWoM message credibility is considered an important determinant of the helpfulness of an eWoM message [31, 40, 57] .",word of mouth context because the online environment permits more separation between an eWoM message and its source [59].,belongs_to_article,1
econometric approach,wooldridge [ 39 ] provided an econometric approach to analyzing cluster sample .,"As shown in table 2, the standard deviations are not the same under different network structures. Potential problems arise with statistical inference in the presence of clustering effects. Default standard errors that ignore clustering can greatly understate true standard errors [8] . wooldridge [39] provided an econometric approach to analyzing cluster sample. following his approach, we compute the variance matrices that are robust to arbitrary cluster correlation and unknown heteroskedasticity. 3 In our context, the observations are clustered into different network topologies. Standard errors are adjusted for clusters in column 5 of table 3, and the result is similar. A practical limitation of inference with cluster-robust standard errors is the assumption that the number of clusters is large. Cameron et al. [8] show that cluster bootstraps can lead to considerable improvement in inference when there are few clusters. Column 6 shows that the results of the cluster bootstrap are robust. Because of the strong suspicion of heteroskedasticity, we also compute the heteroskedasticity-robust t-statistics using the Huber-white sandwich estimators in column 7 to check the robustness of our results. the robust t-statistics can deal with the concerns about the failure to meet standard regression assumptions, such as heteroskedasticity [38] . Our results are robust to the case when the modeling errors depend on the explanatory variables, such as degree and sdummy. Note that different network topologies can be linearly predicted from the variables degree and sdummy (dummy variables indicating network structures are redundant when we have the two explanatory variables, degree and sdummy, so adding additional dummy variables indicating network structures causes the problem of multicollinearity). thus, the results in column 7 are also robust to the case when the modeling errors depend on different network topologies.",wooldridge [39] provided an econometric approach to analyzing cluster sample.,related_work,2
cluster sample,wooldridge [ 39 ] provided an econometric approach to analyzing cluster sample .,"As shown in table 2, the standard deviations are not the same under different network structures. Potential problems arise with statistical inference in the presence of clustering effects. Default standard errors that ignore clustering can greatly understate true standard errors [8] . wooldridge [39] provided an econometric approach to analyzing cluster sample. following his approach, we compute the variance matrices that are robust to arbitrary cluster correlation and unknown heteroskedasticity. 3 In our context, the observations are clustered into different network topologies. Standard errors are adjusted for clusters in column 5 of table 3, and the result is similar. A practical limitation of inference with cluster-robust standard errors is the assumption that the number of clusters is large. Cameron et al. [8] show that cluster bootstraps can lead to considerable improvement in inference when there are few clusters. Column 6 shows that the results of the cluster bootstrap are robust. Because of the strong suspicion of heteroskedasticity, we also compute the heteroskedasticity-robust t-statistics using the Huber-white sandwich estimators in column 7 to check the robustness of our results. the robust t-statistics can deal with the concerns about the failure to meet standard regression assumptions, such as heteroskedasticity [38] . Our results are robust to the case when the modeling errors depend on the explanatory variables, such as degree and sdummy. Note that different network topologies can be linearly predicted from the variables degree and sdummy (dummy variables indicating network structures are redundant when we have the two explanatory variables, degree and sdummy, so adding additional dummy variables indicating network structures causes the problem of multicollinearity). thus, the results in column 7 are also robust to the case when the modeling errors depend on different network topologies.",wooldridge [39] provided an econometric approach to analyzing cluster sample.,related_work,2
system quality,wixom and todd [ 115 ] integrated satisfaction and the technology acceptance model ( technology acceptance model ) theory to show that information satisfaction - driven by information quality - can positively affect perceived usefulness and that system satisfaction - driven by system quality - can positively affect perceived ease of use .,"the Phenomenon of interest in this study is process satisfaction (PS) as a subset of general satisfaction. Marketing research has long noted the importance satisfaction plays in customer adoption and repurchase (e.g., [95, 96] ). research in e-commerce has shown that satisfaction is just as-if not more-critical for long-term growth and profitability in electronic markets [9, 69] . In information systems (IS) research, satisfaction and related affect have been shown to play a strong role in system adoption and, more importantly, in system continuance [9, 12, 58,84,85]. wixom and todd [115] integrated satisfaction and the technology acceptance model (taM) theory to show that information satisfaction-driven by information quality-can positively affect perceived usefulness and that system satisfaction-driven by system quality-can positively affect perceived ease of use. liao et al. [57] extended the theory of planned behavior (tPB) and found that satisfaction was the primary determinant of one's inten-communication interactivity influence communication fluency. the biggest limitation of kock's compensatory adaptation theory [53,54] is that it posits that lean media may result in paradoxical increases in team performance outcomes due to members compensating-often involuntarily-for obstacles posed by lean electronic media. while this is a useful start, such built-in limitations undermine the explanatory power of the theory.",wixom and todd [115] integrated satisfaction and the technology acceptance model (taM) theory to show that information satisfaction-driven by information quality-can positively affect perceived usefulness and that system satisfaction-driven by system quality-can positively affect perceived ease of use.,related_work,2
theory,wixom and todd [ 115 ] integrated satisfaction and the technology acceptance model ( technology acceptance model ) theory to show that information satisfaction - driven by information quality - can positively affect perceived usefulness and that system satisfaction - driven by system quality - can positively affect perceived ease of use .,"the Phenomenon of interest in this study is process satisfaction (PS) as a subset of general satisfaction. Marketing research has long noted the importance satisfaction plays in customer adoption and repurchase (e.g., [95, 96] ). research in e-commerce has shown that satisfaction is just as-if not more-critical for long-term growth and profitability in electronic markets [9, 69] . In information systems (IS) research, satisfaction and related affect have been shown to play a strong role in system adoption and, more importantly, in system continuance [9, 12, 58,84,85]. wixom and todd [115] integrated satisfaction and the technology acceptance model (taM) theory to show that information satisfaction-driven by information quality-can positively affect perceived usefulness and that system satisfaction-driven by system quality-can positively affect perceived ease of use. liao et al. [57] extended the theory of planned behavior (tPB) and found that satisfaction was the primary determinant of one's inten-communication interactivity influence communication fluency. the biggest limitation of kock's compensatory adaptation theory [53,54] is that it posits that lean media may result in paradoxical increases in team performance outcomes due to members compensating-often involuntarily-for obstacles posed by lean electronic media. while this is a useful start, such built-in limitations undermine the explanatory power of the theory.",wixom and todd [115] integrated satisfaction and the technology acceptance model (taM) theory to show that information satisfaction-driven by information quality-can positively affect perceived usefulness and that system satisfaction-driven by system quality-can positively affect perceived ease of use.,related_work,2
information quality,wixom and todd [ 115 ] integrated satisfaction and the technology acceptance model ( technology acceptance model ) theory to show that information satisfaction - driven by information quality - can positively affect perceived usefulness and that system satisfaction - driven by system quality - can positively affect perceived ease of use .,"the Phenomenon of interest in this study is process satisfaction (PS) as a subset of general satisfaction. Marketing research has long noted the importance satisfaction plays in customer adoption and repurchase (e.g., [95, 96] ). research in e-commerce has shown that satisfaction is just as-if not more-critical for long-term growth and profitability in electronic markets [9, 69] . In information systems (IS) research, satisfaction and related affect have been shown to play a strong role in system adoption and, more importantly, in system continuance [9, 12, 58,84,85]. wixom and todd [115] integrated satisfaction and the technology acceptance model (taM) theory to show that information satisfaction-driven by information quality-can positively affect perceived usefulness and that system satisfaction-driven by system quality-can positively affect perceived ease of use. liao et al. [57] extended the theory of planned behavior (tPB) and found that satisfaction was the primary determinant of one's inten-communication interactivity influence communication fluency. the biggest limitation of kock's compensatory adaptation theory [53,54] is that it posits that lean media may result in paradoxical increases in team performance outcomes due to members compensating-often involuntarily-for obstacles posed by lean electronic media. while this is a useful start, such built-in limitations undermine the explanatory power of the theory.",wixom and todd [115] integrated satisfaction and the technology acceptance model (taM) theory to show that information satisfaction-driven by information quality-can positively affect perceived usefulness and that system satisfaction-driven by system quality-can positively affect perceived ease of use.,related_work,2
information technology,without investigating the eflects of virtual product experience from an information technology ( information technology ) perspective .,"Exploratory research in marketing 116. 44,45. 46] has already suggested that VPE has the potential to improve consumer product knowledge and attitudes toward brands, while enhancing consumer purchase intentions. However, most previous studies have treated VPE as a black box. without investigating the eflects of VPE from an information technology (IT) perspective. ",without investigating the eflects of VPE from an information technology (IT) perspective.,related_work,2
